modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	1.5	4.4	1.2	3.0	2.7	0.9	4.6	2.5
xglm-base-trim	en-cs	8.6	15.4	17.0	8.9	10.0	4.0	11.5	13.3
verbose-base	en-cs	15.6	18.6	15.9	7.6	10.7	4.0	13.0	17.6
verbose-base-trim	en-cs	15.7	18.6	15.6	7.6	10.7	4.0	13.0	17.6
xglm-label	en-cs	7.6	11.3	6.1	9.0	6.4	3.1	12.3	4.7
xglm-label-trim	en-cs	13.8	19.4	20.5	12.1	11.2	4.4	13.7	16.9
xglm-rand-label	en-cs	7.6	10.2	3.2	8.4	6.9	3.3	11.3	4.9
xglm-rand-label-trim	en-cs	12.9	18.9	19.4	11.2	12.3	4.3	12.5	16.6
xglm-keywords10-seen200	en-cs	6.8	9.4	2.0	5.2	5.2	1.4	9.1	4.0
xglm-keywords10-seen200-trim	en-cs	15.0	20.8	14.3	10.4	12.4	4.8	13.1	16.7
xglm-rand-keywords10-seen200	en-cs	7.5	9.1	1.9	6.7	6.6	1.8	10.7	4.1
xglm-rand-keywords10-seen200-trim	en-cs	16.3	20.5	16.1	11.4	13.3	4.7	13.9	18.7
xglm-keywords10-all500	en-cs	8.2	10.0	2.0	6.8	6.8	2.4	12.7	4.2
xglm-keywords10-all500-trim	en-cs	16.9	19.8	13.8	12.9	13.9	4.2	15.2	15.4
xglm-keywords30-seen200	en-cs	6.9	8.7	1.7	5.4	5.7	1.6	12.3	NA
xglm-keywords30-seen200-trim	en-cs	15.9	20.8	14.3	11.2	12.5	4.6	14.5	NA
xglm-topic3shot-seen200	en-cs	16.7	9.7	15.7	11.8	11.9	4.8	13.8	18.0
xglm-topic3shot-seen200-trim	en-cs	17.7	20.6	24.8	12.4	12.9	4.8	14.5	20.0
xglm-topic3shot-all500	en-cs	17.4	20.3	14.3	10.5	12.4	4.0	15.4	19.1
xglm-topic3shot-all500-trim	en-cs	18.6	22.0	23.6	10.8	13.5	4.7	15.5	20.2
xglm-topic3shot-cc100	en-cs	14.0	19.0	14.3	11.0	11.9	2.5	13.7	16.4
xglm-topic3shot-cc100-trim	en-cs	17.9	22.2	22.4	12.3	14.5	4.8	15.6	21.0
xglm-topic1shot-seen200	en-cs	12.7	17.6	6.8	8.8	8.6	3.3	11.2	11.4
xglm-topic1shot-seen200-trim	en-cs	17.1	21.0	18.2	10.6	11.9	4.7	13.5	20.2
xglm-rand-topic3shot-seen200	en-cs	17.1	19.6	19.7	11.6	11.6	4.3	14.2	18.2
xglm-rand-topic3shot-seen200-trim	en-cs	17.8	21.6	23.6	12.6	13.2	4.5	14.7	20.6
xglm-rand-domain3shot-langs	en-cs	19.2	22.6	25.6	12.9	14.3	4.8	15.5	NA
xglm-rand-domain3shot-langs-trim	en-cs	19.0	22.8	25.0	12.9	14.3	4.8	15.5	NA
xglm-rand-domain3shot-all	en-cs	17.8	20.9	22.0	12.1	13.5	4.6	14.9	NA
xglm-rand-domain3shot-all-trim	en-cs	17.9	22.4	24.3	12.1	14.1	4.6	14.9	NA
xglm-truerand-3shot-langs	en-cs	18.6	22.1	23.8	12.9	15.1	4.9	15.6	NA
xglm-truerand-3shot-langs-trim	en-cs	18.5	22.2	23.1	12.9	15.1	4.9	15.6	NA
xglm-truerand-3shot-all	en-cs	18.2	21.5	22.6	11.1	13.9	4.7	14.8	NA
xglm-truerand-3shot-all-trim	en-cs	18.0	22.0	23.1	11.1	15.0	4.9	14.8	NA
xglm-topic5shot-seen200	en-cs	18.6	20.3	11.0	12.8	13.2	4.1	13.7	NA
xglm-topic5shot-seen200-trim	en-cs	19.5	22.3	23.2	13.4	14.9	4.4	14.3	NA
xglm-keywords10-cc100	en-cs	8.1	9.2	2.0	7.3	6.3	2.1	13.2	NA
xglm-keywords10-cc100-trim	en-cs	15.7	20.3	16.3	12.3	12.2	4.6	14.3	NA
xglm-keywords10-topic3shot-seen200	en-cs	16.1	21.0	11.8	11.2	12.6	4.2	13.7	NA
xglm-keywords10-topic3shot-seen200-trim	en-cs	18.0	24.0	21.6	11.9	13.1	4.7	14.3	NA
xglm-rand-domainkeywords10-langs	en-cs	8.6	13.1	2.8	8.7	9.4	2.9	13.5	NA
xglm-rand-domainkeywords10-langs-trim	en-cs	16.0	22.1	22.0	11.3	12.2	4.0	14.2	NA
xglm-rand-domainkeywords10-all	en-cs	6.4	9.6	2.1	7.4	6.0	NA	11.8	NA
xglm-rand-domainkeywords10-all-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	en-cs	NA	NA	NA	NA	NA	NA	NA	NA
