modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	en-cs	0.49755	0.523922	0.435629	0.622972	0.6027	0.470042	0.652453	0.506676
xglm-base-trim	en-cs	0.657385	0.765686	0.716107	0.70831	0.695508	0.631597	0.720979	0.711898
verbose-base	en-cs	0.737992	0.786031	0.660897	0.644202	0.691189	0.642768	0.732848	0.681053
verbose-base-trim	en-cs	0.778755	0.820893	0.751986	0.714822	0.743833	0.668464	0.776661	0.749179
xglm-label	en-cs	0.673517	0.722144	0.596219	0.663997	0.651011	0.623932	0.711726	0.587224
xglm-label-trim	en-cs	0.741042	0.810064	0.720274	0.722882	0.70937	0.655581	0.750787	0.738768
xglm-rand-label	en-cs	0.661622	0.709877	0.577875	0.659207	0.654283	0.634218	0.7092	0.591868
xglm-rand-label-trim	en-cs	0.72592	0.805175	0.729028	0.719881	0.709295	0.656773	0.744821	0.744634
xglm-keywords10-seen200	en-cs	0.672916	0.68091	0.504547	0.65279	0.651377	0.538661	0.709518	0.555708
xglm-keywords10-seen200-trim	en-cs	0.766003	0.830722	0.751873	0.729769	0.73991	0.660195	0.765026	0.761463
xglm-rand-keywords10-seen200	en-cs	0.680577	0.675606	0.524973	0.66585	0.664736	0.576805	0.721131	0.553378
xglm-rand-keywords10-seen200-trim	en-cs	0.77458	0.819943	0.743097	0.732671	0.740421	0.663144	0.760886	0.759995
xglm-keywords10-all500	en-cs	0.687115	0.694268	0.539138	0.665136	0.673219	0.609526	0.732864	0.566449
xglm-keywords10-all500-trim	en-cs	0.773712	0.824943	0.746288	0.733188	0.747055	0.657588	0.773671	0.756723
xglm-topic3shot-seen200	en-cs	0.752657	0.809104	0.691584	0.677715	0.69585	0.660198	0.730081	0.694925
xglm-topic3shot-seen200-trim	en-cs	0.806184	0.850472	0.798121	0.735405	0.741952	0.672717	0.766917	0.786246
xglm-topic3shot-all500	en-cs	0.755189	0.810089	0.685791	0.671685	0.696282	0.613696	0.739021	0.709418
xglm-topic3shot-all500-trim	en-cs	0.80634	0.850621	0.794965	0.730492	0.746417	0.661817	0.774787	0.797202
xglm-topic3shot-cc100	en-cs	0.738814	0.78966	0.685636	0.667972	0.69657	0.572377	0.726528	0.69698
xglm-topic3shot-cc100-trim	en-cs	0.799417	0.839352	0.791853	0.729978	0.751663	0.666602	0.771199	0.798588
xglm-topic1shot-seen200	en-cs	0.71688	0.789742	0.646065	0.664974	0.671392	0.60789	0.714974	0.661423
xglm-topic1shot-seen200-trim	en-cs	0.790862	0.843559	0.777538	0.730561	0.733862	0.648375	0.758074	0.775465
xglm-rand-topic3shot-seen200	en-cs	0.748089	0.796793	0.691221	0.670674	0.697565	0.645841	0.737327	0.69958
xglm-rand-topic3shot-seen200-trim	en-cs	0.801847	0.83894	0.786254	0.731263	0.745164	0.658716	0.772382	0.790741
xglm-base	en-de	0.616798	0.569233	0.516257	0.680383	0.672667	0.633423	0.723089	0.640311
xglm-base-trim	en-de	0.71831	0.739554	0.72085	0.749922	0.744281	0.684548	0.781722	0.803969
verbose-base	en-de	0.721902	0.75247	0.658072	0.677528	0.708304	0.672504	0.751455	0.750896
verbose-base-trim	en-de	0.772976	0.792131	0.734935	0.754902	0.76578	0.706115	0.799833	0.82852
xglm-label	en-de	0.687256	0.716359	0.619228	0.701953	0.717413	0.665386	0.760007	0.696685
xglm-label-trim	en-de	0.76238	0.805963	0.738067	0.758696	0.771361	0.703678	0.797579	0.831894
xglm-rand-label	en-de	0.680397	0.705316	0.60015	0.700773	0.719339	0.668537	0.762203	0.700981
xglm-rand-label-trim	en-de	0.755867	0.803666	0.733598	0.756699	0.768887	0.702171	0.797943	0.833876
xglm-keywords10-seen200	en-de	0.663044	0.646924	0.51294	0.666433	0.665265	0.538982	0.719202	0.595196
xglm-keywords10-seen200-trim	en-de	0.776767	0.808049	0.75343	0.763719	0.773971	0.701516	0.803841	0.841977
xglm-rand-keywords10-seen200	en-de	0.657528	0.658915	0.539292	0.694221	0.704253	0.600729	0.75636	0.616592
xglm-rand-keywords10-seen200-trim	en-de	0.765157	0.811924	0.737415	0.759109	0.770532	0.700827	0.802564	0.841167
xglm-keywords10-all500	en-de	0.669828	0.658499	0.560555	0.696899	0.709114	0.64217	0.760974	0.624822
xglm-keywords10-all500-trim	en-de	0.77373	0.810515	0.756957	0.759638	0.774733	0.701067	0.802397	0.838795
xglm-topic3shot-seen200	en-de	0.74038	0.778318	0.678546	0.702021	0.719775	0.668954	0.758548	0.773476
xglm-topic3shot-seen200-trim	en-de	0.793644	0.818603	0.763782	0.756717	0.766183	0.698395	0.797028	0.855623
xglm-topic3shot-all500	en-de	0.740742	0.781249	0.684176	0.696864	0.7227	0.584798	0.765611	0.768593
