modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	mean	8.7	11.1	3.6	9.0	10.0	2.3	12.4	7.5
xglm-base-trim	mean	17.7	21.3	15.8	13.8	15.7	6.4	17.1	20.4
verbose-base	mean	20.1	22.0	16.3	11.4	15.2	6.3	16.8	17.1
verbose-base-trim	mean	20.0	22.0	16.2	11.4	15.2	6.3	16.8	17.1
xglm-label	mean	15.7	20.0	10.2	14.2	14.7	4.4	18.1	6.1
xglm-label-trim	mean	21.9	25.1	20.1	15.3	17.5	7.1	18.6	17.4
xglm-rand-label	mean	15.3	17.7	8.2	13.6	14.6	4.7	17.9	6.1
xglm-rand-label-trim	mean	21.3	24.0	19.4	14.7	17.2	6.9	18.4	17.3
xglm-keywords10-seen200	mean	9.7	12.4	3.2	6.7	8.9	1.9	11.0	3.8
xglm-keywords10-seen200-trim	mean	22.1	24.9	17.5	15.3	17.7	7.1	19.1	22.2
xglm-rand-keywords10-seen200	mean	10.1	11.6	2.9	7.9	10.1	3.9	13.1	4.0
xglm-rand-keywords10-seen200-trim	mean	22.4	25.0	16.5	15.1	18.0	8.9	18.8	18.0
xglm-keywords10-all500	mean	10.2	12.5	3.3	7.3	10.6	3.3	14.0	4.2
xglm-keywords10-all500-trim	mean	22.5	25.0	18.1	15.4	18.2	6.8	19.3	16.6
xglm-keywords30-seen200	mean	9.5	11.0	2.9	9.2	10.4	3.7	14.1	8.2
xglm-keywords30-seen200-trim	mean	21.8	25.2	15.8	15.5	17.9	8.9	19.2	30.4
xglm-topic3shot-seen200	mean	24.8	23.3	16.1	15.1	17.6	6.7	18.7	20.0
xglm-topic3shot-seen200-trim	mean	25.7	26.7	21.6	15.3	18.1	7.0	19.0	24.3
xglm-topic3shot-all500	mean	21.8	24.1	14.3	14.5	17.4	5.8	19.3	17.7
xglm-topic3shot-all500-trim	mean	25.4	26.9	21.3	15.2	18.3	7.4	19.5	19.9
xglm-topic3shot-cc100	mean	16.7	17.9	12.8	9.0	12.3	4.3	14.0	16.7
xglm-topic3shot-cc100-trim	mean	19.4	20.3	18.4	11.3	14.4	7.0	15.0	20.6
xglm-topic1shot-seen200	mean	15.4	18.9	8.5	10.2	13.0	3.9	14.8	9.9
xglm-topic1shot-seen200-trim	mean	23.2	26.0	18.8	14.5	17.1	7.0	18.0	19.2
xglm-rand-topic3shot-seen200	mean	20.8	22.7	14.6	14.0	16.5	6.8	18.2	17.8
xglm-rand-topic3shot-seen200-trim	mean	23.4	25.2	19.8	14.7	17.4	7.0	18.8	20.0
xglm-rand-domain3shot-langs	mean	26.2	28.2	24.1	16.5	19.5	7.9	20.7	NA
xglm-rand-domain3shot-langs-trim	mean	25.9	28.3	24.0	16.5	19.5	7.9	20.7	NA
xglm-rand-domain3shot-all	mean	24.8	27.0	22.5	15.7	18.3	7.3	20.1	NA
xglm-rand-domain3shot-all-trim	mean	25.1	27.4	23.0	15.7	18.6	7.3	20.1	NA
xglm-truerand-3shot-langs	mean	25.0	26.3	22.5	16.3	19.1	7.4	20.1	NA
xglm-truerand-3shot-langs-trim	mean	24.8	26.4	22.5	16.3	19.1	7.4	20.1	NA
xglm-truerand-3shot-all	mean	23.9	25.8	21.4	15.8	18.2	6.9	19.6	NA
xglm-truerand-3shot-all-trim	mean	23.9	26.1	22.1	15.8	18.4	6.9	19.6	NA
xglm-topic5shot-seen200	mean	22.3	25.0	13.6	15.1	16.9	6.9	18.5	NA
xglm-topic5shot-seen200-trim	mean	25.2	27.4	21.5	15.4	17.7	7.0	18.8	NA
xglm-keywords10-cc100	mean	11.0	11.5	2.9	7.9	10.6	3.0	14.3	NA
xglm-keywords10-cc100-trim	mean	22.4	24.6	17.4	15.2	18.0	6.9	18.9	NA
xglm-keywords10-topic3shot-seen200	mean	22.3	24.4	13.7	14.8	16.9	6.5	18.6	NA
xglm-keywords10-topic3shot-seen200-trim	mean	25.4	27.2	20.7	15.3	18.0	7.0	18.9	NA
xglm-rand-domainkeywords10-langs	mean	12.2	15.2	3.7	11.0	13.4	5.4	18.4	NA
xglm-rand-domainkeywords10-langs-trim	mean	22.0	23.9	17.8	12.7	16.2	7.4	19.2	NA
xglm-rand-domainkeywords10-all	mean	11.2	13.5	4.5	14.1	15.0	3.7	17.2	NA
xglm-rand-domainkeywords10-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all	mean	18.6	NA	NA	NA	NA	NA	NA	NA
xglm-truerand-keywords10-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-seen500	mean	24.3	27.3	21.8	15.8	17.6	6.8	19.5	NA
xglm-topic3shot-seen500-trim	mean	25.5	17.9	23.0	16.0	18.1	6.8	19.6	NA
xglm-topic3shot-seen1000	mean	24.8	27.7	21.6	15.5	18.0	6.9	18.8	NA
xglm-topic3shot-seen1000-trim	mean	25.9	28.1	22.6	15.5	18.3	6.9	19.0	NA
xglm-topic3shot-seen2000	mean	25.4	27.5	21.7	15.7	17.9	6.9	19.3	NA
xglm-topic3shot-seen2000-trim	mean	26.1	27.7	22.6	15.8	18.1	7.0	19.3	NA
xglm-topic3shot-all500	mean	21.8	24.1	14.3	14.5	17.4	5.8	19.3	17.7
xglm-topic3shot-all500-trim	mean	25.4	26.9	21.3	15.2	18.3	7.4	19.5	19.9
xglm-topic3shot-all1000	mean	23.4	29.5	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all1000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-all2000	mean	26.3	29.9	NA	16.6	NA	NA	NA	NA
xglm-topic3shot-all2000-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-all	mean	28.7	36.5	27.6	16.0	27.2	15.1	23.8	NA
xglm-bm25-3shot-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-langsxglm-bm25-3shot-langs-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-sentsim-3shot-langs	mean	36.1	39.3	29.9	17.0	23.5	19.7	22.0	NA
xglm-sentsim-3shot-langs-trim	mean	36.0	39.3	29.8	17.0	23.5	19.8	22.0	NA
xglm-sentsim-3shot-all	mean	32.8	36.3	29.1	15.9	22.8	16.4	23.2	NA
xglm-sentsim-3shot-all-trim	mean	32.9	36.5	29.5	16.0	22.9	16.5	23.2	NA
xglm-topic3shot-lang200	mean	27.4	29.6	25.4	17.6	21.1	9.9	22.2	NA
xglm-topic3shot-lang200-trim	mean	27.4	29.7	25.9	17.6	21.2	9.9	22.2	NA
xglm-topic3shot-lang500	mean	33.1	29.3	26.1	17.8	21.3	10.3	22.1	NA
xglm-topic3shot-lang500-trim	mean	32.9	29.4	25.9	17.8	21.2	10.3	22.1	NA
xglm-topic3shot-domain200	mean	25.7	27.3	15.3	15.8	NA	NA	20.2	NA
xglm-topic3shot-domain200-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-bm25-3shot-seen-all-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
