modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	mean	0.5989	0.5994	0.5016	0.6189	0.611	0.4896	0.6511	0.567
xglm-base-trim	mean	0.7084	0.7356	0.6745	0.6816	0.6718	0.5898	0.7003	0.7134
verbose-base	mean	0.6926	0.7221	0.6081	0.6187	0.64	0.5983	0.673	0.6397
verbose-base-trim	mean	0.7377	0.7588	0.6909	0.6896	0.6877	0.6207	0.7164	0.7004
xglm-label	mean	0.6764	0.7104	0.5913	0.6451	0.6487	0.5757	0.686	0.5819
xglm-label-trim	mean	0.739	0.7688	0.7059	0.6941	0.6918	0.6044	0.7172	0.7062
xglm-rand-label	mean	0.6713	0.698	0.5752	0.6414	0.6477	0.5832	0.6867	0.5792
xglm-rand-label-trim	mean	0.7325	0.7637	0.6998	0.6913	0.6893	0.6037	0.717	0.7019
xglm-keywords10-seen200	mean	0.6419	0.6506	0.5086	0.6184	0.6194	0.4933	0.6568	0.5213
xglm-keywords10-seen200-trim	mean	0.7474	0.7733	0.7097	0.6959	0.6941	0.6064	0.7209	0.737
xglm-rand-keywords10-seen200	mean	0.6496	0.6409	0.5077	0.6305	0.6342	0.5653	0.6704	0.5319
xglm-rand-keywords10-seen200-trim	mean	0.7439	0.7714	0.6967	0.695	0.695	0.6349	0.7196	0.7108
xglm-keywords10-all500	mean	0.6324	0.6336	0.5114	0.6207	0.6154	0.559	0.6597	0.5383
xglm-keywords10-all500-trim	mean	0.7224	0.7609	0.6885	0.6769	0.6668	0.6061	0.6916	0.7073
xglm-keywords30-seen200	mean	0.6475	0.6351	0.516	0.636	0.637	0.5622	0.6773	0.5914
xglm-keywords30-seen200-trim	mean	0.7491	0.7741	0.7057	0.6965	0.6965	0.6378	0.7228	0.7863
xglm-topic3shot-seen200	mean	0.7135	0.7431	0.6261	0.6449	0.6512	0.6015	0.6824	0.6618
xglm-topic3shot-seen200-trim	mean	0.7635	0.7855	0.7216	0.6933	0.6878	0.6132	0.7129	0.7356
xglm-topic3shot-all500	mean	0.711	0.7421	0.6278	0.6471	0.6584	0.5593	0.6927	0.6606
xglm-topic3shot-all500-trim	mean	0.7629	0.7847	0.7256	0.699	0.7	0.6216	0.7257	0.7314
xglm-topic3shot-cc100	mean	0.6996	0.7272	0.6264	0.6278	0.633	0.55	0.6621	0.6612
xglm-topic3shot-cc100-trim	mean	0.7496	0.7718	0.7185	0.6801	0.6719	0.6181	0.6916	0.7394
xglm-topic1shot-seen200	mean	0.6682	0.7034	0.593	0.6205	0.6248	0.555	0.6534	0.6143
xglm-topic1shot-seen200-trim	mean	0.7465	0.7785	0.7108	0.684	0.6785	0.6048	0.7009	0.7115
xglm-rand-topic3shot-seen200	mean	0.7022	0.7301	0.6211	0.636	0.6481	0.6014	0.6813	0.6586
xglm-rand-topic3shot-seen200-trim	mean	0.7515	0.7706	0.7094	0.6843	0.6847	0.6078	0.7118	0.7263
xglm-rand-domain3shot-langs	mean	0.7338	0.7675	0.6655	0.6606	0.6773	0.6184	0.7088	NA
xglm-rand-domain3shot-langs-trim	mean	0.7776	0.7985	0.7574	0.7105	0.7122	0.6233	0.7381	NA
xglm-rand-domain3shot-all	mean	0.726	0.76	0.6583	0.6541	0.6675	0.6107	0.7033	NA
xglm-rand-domain3shot-all-trim	mean	0.7707	0.7927	0.7495	0.7023	0.7021	0.6167	0.7325	NA
xglm-truerand-3shot-langs	mean	0.7277	0.7578	0.6563	0.6591	0.6727	0.6125	0.7029	NA
xglm-truerand-3shot-langs-trim	mean	0.7707	0.7884	0.7438	0.7093	0.7077	0.6168	0.7325	NA
xglm-truerand-3shot-all	mean	0.7205	0.7545	0.6512	0.6544	0.6646	0.609	0.6962	NA
xglm-truerand-3shot-all-trim	mean	0.7634	0.7861	0.7386	0.7039	0.6993	0.6141	0.7252	NA
xglm-topic5shot-seen200	mean	0.7132	0.7449	0.628	0.6466	0.6544	0.6031	0.6857	NA
xglm-topic5shot-seen200-trim	mean	0.7628	0.7854	0.7248	0.6946	0.6903	0.612	0.7155	NA
xglm-keywords10-cc100	mean	0.6643	0.6388	0.5116	0.6331	0.6359	0.5468	0.6768	NA
xglm-keywords10-cc100-trim	mean	0.7524	0.7716	0.7086	0.6986	0.6974	0.6025	0.7212	NA
xglm-keywords10-topic3shot-seen200	mean	0.7177	0.7438	0.6322	0.6464	0.655	0.6001	0.6868	NA
xglm-keywords10-topic3shot-seen200-trim	mean	0.7683	0.7868	0.7258	0.6952	0.6922	0.6115	0.7174	NA
