modifier	lang-pair	EMEA	JRC-Acquis	KDE4	OpenSubtitles	QED	Tanzil	TED2020	CCAligned
xglm-base	mean	275.3	335.8	253.0	415.6364	380.4545	367.4	412.5455	286.4545
xglm-base-trim	mean	317.4	415.0	340.3636	432.1818	401.5455	465.0	427.5455	335.0
verbose-base	mean	477.9	487.2	448.9091	474.6364	484.8182	488.0	489.0909	452.5714
verbose-base-trim	mean	477.5	487.1	448.6364	474.6364	484.7273	488.0	489.0909	452.2857
xglm-label	mean	398.1	453.9	323.2727	468.5455	446.0909	459.8	480.0909	289.8571
xglm-label-trim	mean	416.5	476.5	337.5455	470.0	453.8182	488.8	480.9091	329.0
xglm-rand-label	mean	391.5	438.6	332.5455	461.5455	444.7273	468.6	477.3636	307.8571
xglm-rand-label-trim	mean	407.9	469.5	360.5455	464.0909	450.6364	488.0	478.1818	350.4286
xglm-keywords10-seen200	mean	382.9	403.0	269.5455	441.9091	424.9091	371.0	455.6364	272.0
xglm-keywords10-seen200-trim	mean	447.5	485.7	409.4545	478.0	470.0909	493.6	489.3636	417.7273
xglm-rand-keywords10-seen200	mean	397.4	396.3	279.0	456.3636	443.8182	415.8	472.4545	289.8571
xglm-rand-keywords10-seen200-trim	mean	448.4	481.3	393.9091	474.8182	470.2727	492.2	489.7273	395.4286
xglm-keywords10-all500	mean	378.3333	388.5	279.5714	452.4286	427.5714	438.4	479.2857	300.1429
xglm-keywords10-all500-trim	mean	437.1667	481.5	394.1429	467.7143	452.0	490.6	485.1429	406.2857
xglm-keywords30-seen200	mean	388.6	393.8	290.4545	460.9091	446.7273	407.0	476.1818	338.75
xglm-keywords30-seen200-trim	mean	444.2	483.8	403.0	476.0909	471.0909	495.125	490.4545	445.0
xglm-topic3shot-seen200	mean	464.6	469.8	427.3636	476.2727	478.4545	489.0	484.5455	437.0
xglm-topic3shot-seen200-trim	mean	481.9	494.3	454.5455	479.6364	485.5455	496.6	492.4545	454.2727
xglm-topic3shot-all500	mean	462.0	472.8	423.9091	475.6364	476.9091	445.8	487.9091	443.5714
xglm-topic3shot-all500-trim	mean	482.6	495.0	454.9091	480.0	484.8182	494.4	494.1818	453.1429
xglm-topic3shot-cc100	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic3shot-cc100-trim	mean	NA	NA	NA	NA	NA	NA	NA	NA
xglm-topic1shot-seen200	mean	408.7	423.9	372.4545	445.5455	446.0	436.4	452.1818	394.1429
xglm-topic1shot-seen200-trim	mean	473.3	493.9	453.1818	478.8182	479.3636	492.0	487.7273	437.7143
xglm-rand-topic3shot-seen200	mean	459.6667	467.6667	426.4286	478.7143	478.4286	493.0	484.5714	443.0
xglm-rand-topic3shot-seen200-trim	mean	480.9	492.0	452.8182	479.3636	484.1818	495.8	492.8182	449.1429
xglm-rand-domain3shot-langs	mean	488.0	496.9	459.1818	482.2727	491.7273	497.6	495.9091	NA
xglm-rand-domain3shot-langs-trim	mean	487.7	496.9	459.0909	482.2727	490.7273	497.6	495.9091	NA
xglm-rand-domain3shot-all	mean	481.5	494.3	457.2727	478.6364	486.6364	489.8	496.5455	NA
xglm-rand-domain3shot-all-trim	mean	484.1	496.2	458.8182	478.8182	486.3636	491.0	496.5455	NA
xglm-truerand-3shot-langs	mean	486.8	494.7	461.0	482.6364	491.2727	496.2	495.2727	NA
xglm-truerand-3shot-langs-trim	mean	486.4	494.9	460.9091	482.6364	490.7273	496.2	495.2727	NA
xglm-truerand-3shot-all	mean	482.7	492.3	460.6364	481.2727	487.0909	495.4	494.6364	NA
xglm-truerand-3shot-all-trim	mean	484.0	494.4	462.1818	481.4545	487.1818	496.2	494.6364	NA
xglm-topic5shot-seen200	mean	468.0	474.1	428.2727	478.0	480.6364	492.4	487.3636	NA
xglm-topic5shot-seen200-trim	mean	483.3	493.5	454.0909	480.4545	486.4545	496.6	493.0909	NA
xglm-keywords10-cc100	mean	409.7	394.2	278.8182	455.8182	442.6364	428.2	476.4545	NA
xglm-keywords10-cc100-trim	mean	455.9	483.7	404.7273	475.7273	467.1818	487.6	488.9091	NA
xglm-keywords10-topic3shot-seen200	mean	469.6	475.9	438.4545	476.1818	481.1818	488.4	488.9091	NA
xglm-keywords10-topic3shot-seen200-trim	mean	482.4	495.5	455.9091	478.7273	486.4545	496.4	493.2727	NA
